nohup: ignoring input
logisticRg(
  (lr): Sequential(
    (0): Linear(in_features=784, out_features=10, bias=True)
  )
)
Epoch:  3 | train loss: 0.3215 | test accuracy: 0.9046
Epoch:  3 | train loss: 0.5335 | test accuracy: 0.9043
Epoch:  3 | train loss: 0.5653 | test accuracy: 0.9063
Epoch:  3 | train loss: 0.3168 | test accuracy: 0.9063
Epoch:  3 | train loss: 0.1772 | test accuracy: 0.9068
Epoch:  3 | train loss: 0.4740 | test accuracy: 0.9069
Epoch:  3 | train loss: 0.4792 | test accuracy: 0.9067
Epoch:  3 | train loss: 0.4372 | test accuracy: 0.9074
Epoch:  3 | train loss: 0.4781 | test accuracy: 0.9062
Epoch:  3 | train loss: 0.4987 | test accuracy: 0.9066
Epoch:  3 | train loss: 0.2264 | test accuracy: 0.9061
Epoch:  3 | train loss: 0.4258 | test accuracy: 0.9071
Epoch:  3 | train loss: 0.3548 | test accuracy: 0.9066
Epoch:  3 | train loss: 0.2320 | test accuracy: 0.9074
Epoch:  3 | train loss: 0.3003 | test accuracy: 0.9077
Epoch:  3 | train loss: 0.3236 | test accuracy: 0.9080
Epoch:  3 | train loss: 0.1998 | test accuracy: 0.9071
Epoch:  4 | train loss: 0.2217 | test accuracy: 0.9069
Epoch:  4 | train loss: 0.5175 | test accuracy: 0.9071
Epoch:  4 | train loss: 0.3168 | test accuracy: 0.9077
Epoch:  4 | train loss: 0.3407 | test accuracy: 0.9081
Epoch:  4 | train loss: 0.5148 | test accuracy: 0.9079
Epoch:  4 | train loss: 0.5437 | test accuracy: 0.9072
Epoch:  4 | train loss: 0.3050 | test accuracy: 0.9082
Epoch:  4 | train loss: 0.2110 | test accuracy: 0.9068
Epoch:  4 | train loss: 0.2920 | test accuracy: 0.9078
Epoch:  4 | train loss: 0.6461 | test accuracy: 0.9081
Epoch:  4 | train loss: 0.2948 | test accuracy: 0.9083
Epoch:  4 | train loss: 0.4135 | test accuracy: 0.9084
Epoch:  4 | train loss: 0.4789 | test accuracy: 0.9081
Epoch:  4 | train loss: 0.4205 | test accuracy: 0.9085
Epoch:  4 | train loss: 0.5930 | test accuracy: 0.9091
Epoch:  4 | train loss: 0.4547 | test accuracy: 0.9085
Epoch:  4 | train loss: 0.4435 | test accuracy: 0.9088
Epoch:  4 | train loss: 0.4659 | test accuracy: 0.9094
Epoch:  4 | train loss: 0.3333 | test accuracy: 0.9099
Epoch:  4 | train loss: 0.7129 | test accuracy: 0.9097
